,cafe_names,cafe_places,cafe_ranks,cafe_adresses,cafe_images1,ca_images2
10,カフェ フェイト, 天神橋筋六丁目駅 274m / カフェ・喫茶(カフェ)、フレンチトースト            ,3.72,大阪府大阪市北区本庄東1-6-16 メゾン・コンフォート 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/155222/320x320_square_155222082.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155222/320x320_square_155222069.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/93175/320x320_square_93175361.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/79358/150x150_square_79358493.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/79358/150x150_square_79358504.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/79358/150x150_square_79358487.jpg']"
11,クレープリー・スタンド シャンデレール 梅田店, 大阪梅田（阪急）駅 271m / カフェ・喫茶(カフェ)、クレープ、フレンチ            ,3.71,大阪府大阪市北区鶴野町1-9 梅田ゲートタワー １Ｆ,"['https://tblg.k-img.com/restaurant/images/Rvw/27569/320x320_square_27569968.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77310/320x320_square_77310344.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77310/320x320_square_77310343.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/119966/150x150_square_119966011.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/119966/150x150_square_119966015.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/119966/150x150_square_119966017.jpg']"
12,ブーランジュリー&カフェ グウ, 谷町四丁目駅 190m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.71,大阪府大阪市中央区内本町1-1-10 リンサンビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/153320/320x320_square_153320366.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153320/320x320_square_153320367.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/169902/320x320_square_088985f4712683aa2608ee0cb596c4dc.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/133135/150x150_square_133135456.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/133135/150x150_square_133135459.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/133135/150x150_square_133135451.jpg']"
13,北浜レトロ, 北浜駅 44m / カフェ・喫茶(紅茶専門店)、ケーキ、サンドイッチ            ,3.70,大阪府大阪市中央区北浜1-1-26 北浜レトロビルヂング,"['https://tblg.k-img.com/restaurant/images/Rvw/149704/320x320_square_149704776.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/149704/320x320_square_149704777.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/22773/320x320_square_22773843.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/150389/150x150_square_150389511.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150389/150x150_square_150389513.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150389/150x150_square_150389515.jpg']"
14,サッチェズカリー, 中崎町駅 321m / カフェ・喫茶(カフェ)、インドカレー、南アジア料理（その他）            ,3.70,大阪府大阪市北区神山町14-23 シャトー東梅田 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/65382/320x320_square_65382859.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/65382/320x320_square_65382856.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171395/320x320_square_2705ddb2fc54c0d03ceb519a66eb75d6.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/150641/150x150_square_150641878.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150641/150x150_square_150641879.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150641/150x150_square_150641889.jpg']"
15,モール&ホソイコーヒーズ, 淀屋橋駅 286m / カフェ・喫茶(喫茶店)、カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)            ,3.70,大阪府大阪市中央区伏見町3-3-3 芝川ビル B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/169572/320x320_square_09295524bb53b616c273441c4fb3a534.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/2593/320x320_square_2593430.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/2593/320x320_square_2593429.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/171034/150x150_square_bf886402a56dda88200cd20071437ba2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171040/150x150_square_e51f76920f62dc0e543836ea4abf2bc7.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153545/150x150_square_153545809.jpg']"
16,ゼー六 本町店, 堺筋本町駅 291m / カフェ・喫茶(喫茶店)、カフェ・喫茶(カフェ)、アイスクリーム            ,3.69,大阪府大阪市中央区本町1-3-22 ,"['https://tblg.k-img.com/restaurant/images/Rvw/164435/320x320_square_b757a1f79791ae5c1d927d0e49685dc2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166234/320x320_square_27412d92b4bc79eb5f3f2821efa44cfa.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/94776/320x320_square_94776644.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/76697/150x150_square_76697449.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76697/150x150_square_76697444.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76697/150x150_square_76697448.jpg']"
17,アド・パンデュース, 淀屋橋駅 92m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.69,大阪府大阪市中央区北浜4-3-1 淀屋橋odona 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/708/320x320_square_708687.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/708/320x320_square_708753.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/708/320x320_square_708692.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/110572/150x150_square_110572316.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110572/150x150_square_110572307.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110572/150x150_square_110572348.jpg']"
18,平岡珈琲店, 本町駅 289m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(喫茶店)、ドーナツ            ,3.69,大阪府大阪市中央区瓦町3-6-11 ,"['https://tblg.k-img.com/restaurant/images/Rvw/155081/320x320_square_155081110.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155081/320x320_square_155081113.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155081/320x320_square_155081108.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/110321/150x150_square_110321511.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110262/150x150_square_110262798.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110290/150x150_square_110290564.jpg']"
19,ガネーシュ m 北浜店, 北浜駅 418m / カフェ・喫茶(カフェ)、カレーライス、カレー（その他）            ,3.69,大阪府大阪市中央区道修町1-1-6 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/178446/320x320_square_4f22422aac62a391e404cba00bbfa446.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176881/320x320_square_44b0a6dfc3c48938cbc4f1fbe362fc8e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156045/320x320_square_156045303.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/145425/150x150_square_145425070.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145425/150x150_square_145425071.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145425/150x150_square_145425072.jpg']"
20,ル プルミエ カフェ in ビギ・ファースト, 心斎橋駅 128m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)、ケーキ            ,3.68,大阪府大阪市中央区心斎橋筋1-3-28 ビギ1stビル　3F,"['https://tblg.k-img.com/restaurant/images/Rvw/117695/320x320_square_117695517.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/82741/320x320_square_82741290.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117695/320x320_square_117695513.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/127639/150x150_square_127639378.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127639/150x150_square_127639387.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127639/150x150_square_127639380.jpg']"
21,ビクトリー, 肥後橋駅 339m / カフェ・喫茶(喫茶店)、カフェ・喫茶(カフェ・喫茶（その他）)、サンドイッチ            ,3.68,大阪府大阪市西区江戸堀1-23-31 ,"['https://tblg.k-img.com/restaurant/images/Rvw/167286/320x320_square_ccc8333a7796d6594a7d3a09b9928758.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167286/320x320_square_1b83a15af3e2ba2482c2a67a8207363e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167286/320x320_square_110041292fe6927f3ec1e53a1aed5e34.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/118692/150x150_square_118692069.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118692/150x150_square_118692078.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118692/150x150_square_118692080.jpg']"
22,cocoo cafe, 阿波座駅 642m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店)、かき氷            ,3.68,大阪府大阪市西区靭本町2-2-23 靭交番前ビル402,"['https://tblg.k-img.com/restaurant/images/Rvw/11131/320x320_square_11131659.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/11131/320x320_square_11131654.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/11131/320x320_square_11131657.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/37034/150x150_square_37034306.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/37034/150x150_square_37034332.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34059/150x150_square_34059537.jpg']"
23,アトリエアルション, 天神橋筋六丁目駅 286m / カフェ・喫茶(カフェ)、ケーキ、パン            ,3.67,大阪府大阪市北区天神橋7-5-9 ,"['https://tblg.k-img.com/restaurant/images/Rvw/117799/320x320_square_117799483.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49723/320x320_square_49723630.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145692/320x320_square_145692768.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/49723/150x150_square_49723630.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49723/150x150_square_49723613.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49723/150x150_square_49723585.jpg']"
24,フードスケープ, 福島駅 302m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.67,大阪府大阪市福島区福島1-4-32 ,"['https://tblg.k-img.com/restaurant/images/Rvw/40054/320x320_square_40054891.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/40054/320x320_square_40054848.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153114/320x320_square_153114383.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/50179/150x150_square_50179094.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/50179/150x150_square_50179100.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/50179/150x150_square_50179080.jpg']"
25,モリ商店, なにわ橋駅 449m / カフェ・喫茶(カフェ)、カレーライス            ,3.67,大阪府大阪市北区西天満4-3-9 和光ビル1F,"['https://tblg.k-img.com/restaurant/images/Rvw/109040/320x320_square_109040834.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/109040/320x320_square_109040844.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146940/320x320_square_146940210.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/142419/150x150_square_142419218.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142419/150x150_square_142419219.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142419/150x150_square_142419220.jpg']"
26,カフェ バーンホーフ, 玉川駅 286m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店)、ケーキ            ,3.66,大阪府大阪市福島区吉野1-14-8 ,"['https://tblg.k-img.com/restaurant/images/Rvw/91573/320x320_square_91573659.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91573/320x320_square_91573859.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91573/320x320_square_91573900.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/33695/150x150_square_33695182.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/33695/150x150_square_33695183.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/97640/150x150_square_97640534.jpg']"
27,純喫茶 アメリカン, 日本橋駅 320m / カフェ・喫茶(喫茶店)、パンケーキ、サンドイッチ            ,3.65,大阪府大阪市中央区道頓堀1-7-4 株式会社アメリカンビル,"['https://tblg.k-img.com/restaurant/images/Rvw/164434/320x320_square_58d0c9a8db25b2351eaea27dc490ffa3.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164434/320x320_square_f77a68831ee0f55779e3b1b1804abb90.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34393/320x320_square_34393268.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/101499/150x150_square_101499253.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/101499/150x150_square_101499260.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/101499/150x150_square_101499267.jpg']"
28,パンとエスプレッソと 南森町交差点, 南森町駅 39m / カフェ・喫茶(カフェ)、パン            ,3.65,大阪府大阪市北区南森町1-3-19 プレミアホテルCABIN 大阪 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/158883/320x320_square_158883665.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158883/320x320_square_158883673.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173350/320x320_square_8880bb0484c371b191715d3cff0edd9f.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/142326/150x150_square_142326200.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142326/150x150_square_142326188.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142326/150x150_square_142326190.jpg']"
29,Cafe 婆沙羅 かえる堂, 西大橋駅 109m / カフェ・喫茶(カフェ)、カレーライス、創作料理            ,3.64,大阪府大阪市西区北堀江2-2-24 PRADIPA 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/175595/320x320_square_917fa105fd64371d04f926c1cffffc4f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175595/320x320_square_771d65696e90535b07c56ff926aab26b.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175595/320x320_square_cdeb8d204e300293091ce28210203c7a.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/113303/150x150_square_113303034.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/113303/150x150_square_113303037.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/113303/150x150_square_113303042.jpg']"
30,Cafe AMADEUS STORY, 渡辺橋駅 196m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(紅茶専門店)            ,3.64,大阪府大阪市北区中之島3-6-32 ダイビル本館  1F,"['https://tblg.k-img.com/restaurant/images/Rvw/137266/320x320_square_137266645.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153403/320x320_square_153403445.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153403/320x320_square_153403451.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/81921/150x150_square_81921530.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/81921/150x150_square_81921537.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/81921/150x150_square_81921551.jpg']"
31,サンシャイン, 東梅田駅 51m / カフェ・喫茶(喫茶店)、カフェ・喫茶(コーヒー専門店)、パンケーキ            ,3.63,大阪府大阪市北区曽根崎2-11-8 B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/42772/320x320_square_42772068.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/25384/320x320_square_25384773.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/22851/320x320_square_22851831.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/143213/150x150_square_143213215.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143213/150x150_square_143213223.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143213/150x150_square_143213227.jpg']"
32,ロンドンティールーム 堂島店, 北新地駅 140m / カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)、カフェ・喫茶(紅茶専門店)            ,3.63,大阪府大阪市北区曽根崎新地2-1-23 JPRビル B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/11741/320x320_square_11741039.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/71379/320x320_square_71379178.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/94382/320x320_square_94382493.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/161861/150x150_square_161861713.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161861/150x150_square_161861714.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91694/150x150_square_91694241.jpg']"
33,ビアン シュール, 阿倍野駅 36m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.63,大阪府大阪市阿倍野区阿倍野筋2-4-44 ,"['https://tblg.k-img.com/restaurant/images/Rvw/175251/320x320_square_ed67058c5397c15083491f0532818da9.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175251/320x320_square_9197ef61a919a52c81b0037e0cd1e0d7.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171731/320x320_square_ebc006e82886ea0a6a98732fb2239bd3.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/171832/150x150_square_536de2f4611ebc707ec8d113062de36d.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171841/150x150_square_116400c2bd80a1d5ce6eeef4b52faa44.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171842/150x150_square_54cb1278e9045e0cc077681d06f020ce.jpg']"
34,ダンケ 心斎橋, 心斎橋駅 148m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店)、洋菓子（その他）            ,3.63,大阪府大阪市中央区心斎橋筋1-2-22 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/8983/320x320_square_8983459.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/8983/320x320_square_8983460.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/8983/320x320_square_8983461.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/46070/150x150_square_46070808.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46070/150x150_square_46070809.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46070/150x150_square_46070811.jpg']"
35,コバチ咖喱, 中崎町駅 439m / カフェ・喫茶(カフェ)、カレーライス            ,3.63,大阪府大阪市北区豊崎1-7-22 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/178511/320x320_square_d705595a37303ed2be3fe4ed5eaa9ff6.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/178511/320x320_square_0697b6e03ed5189a02e2824ac48852cb.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166407/320x320_square_de47b386ee93ed936e6b155cef226df2.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/152011/150x150_square_152011435.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/152011/150x150_square_152011444.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128923/150x150_square_128923081.jpg']"
36,ウエストウッドベーカーズ, なんば（大阪メトロ）駅 417m / カフェ・喫茶(カフェ)、パン、ハンバーガー            ,3.62,大阪府大阪市西区南堀江1-16-9 ,"['https://tblg.k-img.com/restaurant/images/Rvw/137033/320x320_square_137033582.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/137033/320x320_square_137033585.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/57292/320x320_square_57292567.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/28973/150x150_square_28973701.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28973/150x150_square_28973727.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28973/150x150_square_28973762.jpg']"
